name_serie,release_date,channel,runtime,end_date,genre,rating,votes
No Game No Life,"Jan. 11, 2011",Tokyo Metropolitan Television,25m,"Jun. 07, 2012",Animacion,8.5,66
Tokyo Ghoul,"Apr. 15, 2011",Fuji TelevisionTōkai Television BroadcastingBS FujiNoitaminaKansai Telecasting Corporation,25m,"Jun. 23, 2011",Animacion,9.8,46
Clarence,"Nov. 11, 2011",Cartoon Network,22m,"Mar. 16, 2013",Action & Adventure,9.2,14
Mr. Pickles,"Oct. 09, 2011",Chiba Television Broadcasting,25m,"Apr. 15, 2012",Action & Adventure,8.9,100
Fate/stay night [Unlimited Blade Works],"Oct. 02, 2011",Nippon TV,24m,"Sep. 24, 2014",Action & Adventure,9.6,225
Más allá del jardín,"Jan. 10, 2012",Tokyo Metropolitan Television,20m,"Mar. 27, 2012",Action & Adventure,9.4,151
Sonic Boom,"Apr. 01, 2012",Disney XD,21m,"Jan. 01, 2017",Action & Adventure,9.4,224
Knights of Sidonia,"Apr. 06, 2011",Teletama,24m,"Aug. 23, 2018",Action & Adventure,10,24
Drama Total: Todos Estrellas y Isla Pahkitew,"Jul. 07, 2012",Tokyo Metropolitan Television,24m,"Dec. 13, 2014",Action & Adventure,9.5,536
Ben 10: Supremacía Alienígena,"Sep. 17, 2012",Disney XD,11m,"Feb. 07, 2014",Accion,9.5,156
Generador Rex,"Oct. 04, 2012",Tokyo Metropolitan Television,24m,"Dec. 20, 2012",Action & Adventure,8.7,43
High School of the Dead,"Apr. 09, 2016",Tokyo Broadcasting System Television,25m,"Jun. 25, 2016",Animacion,9.2,28
Death Parade,"Aug. 01, 2012",Cartoon Network,22m,"Nov. 14, 2014",Action & Adventure,9.3,263
Food Wars! Shokugeki no Soma,"Oct. 06, 2012",Tokyo MX,24m,"Apr. 20, 2019",Accion,9.6,148
Owari no Seraph,"Jun. 20, 2016",Disney XD,22m,"Aug. 16, 2017",Action & Adventure,7.7,12
Your Lie in April,"Jul. 01, 2016",WOWOW,24m,"Jun. 23, 2017",Action & Adventure,8.2,17
